,Habitaciones,Baños,Estrato,Antigüedad,Piso N°,Administración,Precio m²,Parqueaderos,Estado,Tipo de apartamento,Precio,Área construída (m²),Área privada (m²)
218,,,,,,,,,,, 647307563,,
219,1.0,1.0,5.0,,3,$ 167.000 COP,$ 4.700.000*m²,2.0,,, 235000000,50 ,0 
220,1.0,1.0,4.0,,,No definida,$ 6.187.500*m²,1.0,Excelente,, 198000000,32 ,0 
221,,,,,,,,,,, 561960000,,
222,2.0,1.0,3.0,9 a 15 años,5,$ 74.000 COP,"$ 2.717.948,72*m²",,Excelente,, 106000000,39 ,0 
223,,,,,,,,,,, 631862400,,
224,,,4.0,,,,,,Sobre planos,, 297126000,,
225,2.0,2.0,5.0,9 a 15 años,Otro,$ 342.200 COP,"$ 5.949.367,09*m²",1.0,,, 470000000,79 ,0 
226,2.0,2.0,3.0,9 a 15 años,9,$ 178.800 COP,"$ 4.328.152,67*m²",,Excelente,, 220000000,"50,83 ",51 
227,3.0,3.0,5.0,menor a 1 año,8,$ 320.000 COP,"$ 5.691.056,91*m²",1.0,Excelente,, 700000000,123 ,123 
228,3.0,2.0,4.0,1 a 8 años,1,$ 261.000 COP,"$ 4.268.292,68*m²",1.0,Bueno,, 350000000,82 ,82 
229,,,,,,,,,,, 347300000,,
230,2.0,2.0,6.0,1 a 8 años,Otro,No definida,"$ 4.857.142,86*m²",1.0,,, 340000000,70 ,0 
231,3.0,3.0,6.0,16 a 30 años,,$ 592.800 COP,"$ 4.017.094,02*m²",2.0,,, 470000000,117 ,0 
232,,,,,,,,,,, 1417743028,,
233,20.0,2.0,4.0,16 a 30 años,5,$ 228.200 COP,"$ 3.582.089,55*m²",1.0,Bueno,, 240000000,67 ,67 
234,3.0,3.0,5.0,,,$ 576.000 COP,"$ 4.918.032,79*m²",,,, 600000000,122 ,0 
235,,,,,,,,,,, 156520000,,
236,3.0,2.0,4.0,1 a 8 años,Otro,$ 183.000 COP,"$ 3.432.835,82*m²",1.0,Excelente,, 230000000,67 ,67 
237,2.0,1.0,4.0,9 a 15 años,,$ 150.000 COP,"$ 4.711.538,46*m²",,Bueno,, 245000000,52 ,52 
238,,,6.0,,,,,,Sobre planos,, 553675000,,
239,4.0,3.0,5.0,más de 30 años,2,No definida,"$ 3.636.363,64*m²",,,, 360000000,99 ,0 
240,2.0,3.0,5.0,,10,$ 330.000 COP,"$ 7.411.764,71*m²",1.0,Bueno,, 630000000,85 ,85 
241,,,4.0,,,,,,En construcción,, 488100000,,
242,2.0,1.0,4.0,16 a 30 años,4,$ 178.600 COP,$ 5.100.000*m²,,Excelente,, 255000000,50 ,50 
243,1.0,1.0,6.0,9 a 15 años,5,$ 442.400 COP,$ 7.500.000*m²,,,, 300000000,40 ,0 
244,,,,,,,,,,, 543532000,,
245,,,,,,,,,,, 516000000,,
246,3.0,4.0,6.0,1 a 8 años,9,$ 820.000 COP,"$ 5.447.761,19*m²",2.0,Excelente,, 730000000,134 ,0 
247,,,,,,,,,,, 295210000,,
248,1.0,1.0,4.0,,3,No definida,$ 6.343.750*m²,1.0,Excelente,, 203000000,32 ,0 
249,3.0,2.0,5.0,1 a 8 años,Otro,$ 400.000 COP,"$ 4.901.960,78*m²",1.0,Excelente,, 500000000,102 ,102 
250,,,4.0,,,,,,Sobre planos,, 200000000,,
251,4.0,5.0,6.0,9 a 15 años,3,$ 750.000 COP,"$ 5.733.333,33*m²",2.0,,, 860000000,150 ,150 
252,3.0,3.0,5.0,9 a 15 años,3,$ 500.000 COP,"$ 4.910.714,29*m²",1.0,Bueno,, 550000000,112 ,112 
253,3.0,3.0,4.0,más de 30 años,7,$ 590.000 COP,"$ 2.261.306,53*m²",2.0,Excelente,, 450000000,199 ,0 
254,2.0,2.0,4.0,,,$ 160.000 COP,"$ 5.673.076,92*m²",,,, 295000000,52 ,52 
255,,,,,,,,,,, 162000000,,
256,3.0,2.0,5.0,1 a 8 años,5,$ 100.000 COP,"$ 4.941.176,47*m²",1.0,Excelente,, 420000000,85 ,0 
257,5.0,6.0,6.0,16 a 30 años,16,$ 2.300.000 COP,$ 4.784.689*m²,5.0,Bueno,, 3000000000,627 ,627 
258,,,,,,,,,,, 240000000,,
259,3.0,2.0,4.0,,,No definida,"$ 3.454.545,45*m²",,,, 380000000,110 ,0 
260,2.0,2.0,4.0,16 a 30 años,Otro,$ 165.000 COP,"$ 4.907.407,41*m²",1.0,Excelente,, 265000000,54 ,0 
261,,,4.0,,,,,,Sobre planos,, 297126000,,
262,3.0,2.0,5.0,más de 30 años,2,No definida,"$ 4.393.939,39*m²",1.0,,, 580000000,132 ,132 
263,3.0,1.0,3.0,1 a 8 años,Otro,$ 126.018 COP,"$ 3.829.787,23*m²",,Excelente,, 180000000,47 ,42 
264,,,,,,,,,,, 647307563,,
265,3.0,2.0,5.0,9 a 15 años,4,$ 120.000 COP,"$ 4.266.666,67*m²",1.0,Bueno,, 320000000,75 ,0 
266,,,,,,,,,,, 631862400,,
267,,,,,,,,,,, 347300000,,
268,3.0,2.0,4.0,1 a 8 años,1,$ 229.000 COP,"$ 4.682.539,68*m²",1.0,Bueno,, 295000000,63 ,63 
269,3.0,2.0,4.0,1 a 8 años,6,$ 285.173 COP,"$ 4.642.857,14*m²",1.0,Excelente,, 487500000,105 ,98 
270,3.0,4.0,6.0,16 a 30 años,,$ 550.000 COP,"$ 4.166.666,67*m²",2.0,Excelente,, 550000000,132 ,132 
271,,,,,,,,,,, 215000000,,
272,,,,,,,,,,, 1417743028,,
273,2.0,2.0,6.0,9 a 15 años,Otro,$ 340.000 COP,"$ 4.382.022,47*m²",1.0,,, 390000000,89 ,89 
274,3.0,2.0,4.0,16 a 30 años,2,$ 140.000 COP,"$ 2.653.061,22*m²",1.0,Excelente,, 260000000,98 ,98 
275,,,,,,,,,,, 561960000,,
276,3.0,5.0,6.0,1 a 8 años,Otro,$ 2.500.000 COP,"$ 8.771.929,82*m²",3.0,Excelente,Duplex, 3000000000,342 ,342 
277,2.0,4.0,6.0,1 a 8 años,7,$ 700.000 COP,"$ 6.853.146,85*m²",2.0,Excelente,, 980000000,143 ,143 
278,,,,,,,,,,, 156520000,,
279,3.0,2.0,5.0,9 a 15 años,6,$ 265.000 COP,"$ 4.166.666,67*m²",1.0,Bueno,, 350000000,84 ,84 
280,,,,,,,,,,, 950000000,,
281,,,6.0,,,,,,Sobre planos,, 553675000,,
282,3.0,4.0,6.0,9 a 15 años,,$ 769.000 COP,"$ 5.666.666,67*m²",2.0,,, 850000000,150 ,150 
283,3.0,2.0,3.0,9 a 15 años,,No definida,"$ 3.166.666,67*m²",1.0,Bueno,, 285000000,90 ,0 
284,,,4.0,,,,,,En construcción,, 488100000,,
285,2.0,2.0,6.0,9 a 15 años,7,$ 442.000 COP,"$ 6.944.444,44*m²",2.0,Excelente,, 625000000,90 ,90 
286,3.0,3.0,6.0,,,No definida,"$ 4.022.988,51*m²",,,, 700000000,174 ,174 
287,,,,,,,,,,, 543532000,,
288,2.0,2.0,5.0,más de 30 años,3,$ 85.000 COP,"$ 4.755.244,76*m²",1.0,Bueno,, 340000000,"71,5 ",0 
289,,,,,,,,,,, 460000000,,
290,,,,,,,,,,, 295210000,,
291,3.0,4.0,6.0,1 a 8 años,10,$ 605.000 COP,"$ 7.567.567,57*m²",2.0,Excelente,, 840000000,111 ,111 
292,3.0,2.0,3.0,,,$ 140.000 COP,"$ 3.653.846,15*m²",,,, 190000000,52 ,0 
293,,,4.0,,,,,,Sobre planos,, 200000000,,
294,4.0,3.0,5.0,9 a 15 años,7,$ 478.000 COP,"$ 4.948.979,59*m²",1.0,Excelente,, 485000000,98 ,98 
295,2.0,3.0,5.0,1 a 8 años,10,$ 330.000 COP,"$ 7.411.764,71*m²",2.0,,, 630000000,85 ,0 
296,2.0,1.0,3.0,9 a 15 años,Otro,$ 112.000 COP,$ 3.675.000*m²,,,, 147000000,40 ,40 
297,4.0,4.0,6.0,16 a 30 años,10,$ 579.000 COP,"$ 4.484.126,98*m²",2.0,,, 565000000,126 ,126 
298,3.0,2.0,3.0,16 a 30 años,,$ 220.000 COP,"$ 3.157.894,74*m²",,,, 180000000,57 ,57 
299,1.0,2.0,6.0,1 a 8 años,11,$ 223.000 COP,"$ 7.818.181,82*m²",1.0,,, 430000000,55 ,55 
300,2.0,2.0,4.0,1 a 8 años,4,$ 297.000 COP,$ 5.500.000*m²,,Excelente,, 550000000,100 ,0 
301,,,,,,,,,,, 240000000,,
302,1.0,2.0,4.0,1 a 8 años,3,No definida,"$ 4.032.258,06*m²",,,, 250000000,62 ,62 
303,1.0,2.0,6.0,9 a 15 años,,No definida,"$ 6.428.571,43*m²",2.0,,, 675000000,105 ,0 
304,,,,,,,,,,, 647307563,,
305,1.0,1.0,5.0,,3,$ 167.000 COP,$ 4.700.000*m²,2.0,,, 235000000,50 ,0 
306,1.0,1.0,4.0,,,No definida,$ 6.187.500*m²,1.0,Excelente,, 198000000,32 ,0 
307,,,,,,,,,,, 561960000,,
308,4.0,3.0,4.0,16 a 30 años,3,No definida,"$ 2.935.779,82*m²",,Bueno,, 320000000,109 ,0 
309,,,,,,,,,,, 631862400,,
310,,,4.0,,,,,,Sobre planos,, 297126000,,
311,2.0,1.0,5.0,16 a 30 años,1,$ 210 COP,"$ 4.848.484,85*m²",1.0,Bueno,, 320000000,66 ,66 
312,3.0,3.0,5.0,más de 30 años,,$ 250.000 COP,$ 4.000.000*m²,1.0,Bueno,, 660000000,165 ,0 
313,,,4.0,,,No definida,"$ 7.166.666,67*m²",,,, 645000000,90 ,0 
314,,,,,,,,,,, 420000000,,
315,,,,,,,,,,, 347300000,,
316,2.0,2.0,6.0,1 a 8 años,Otro,No definida,"$ 4.857.142,86*m²",1.0,,, 340000000,70 ,0 
317,3.0,2.0,5.0,1 a 8 años,,$ 295.000 COP,"$ 5.795.454,55*m²",2.0,Excelente,, 510000000,88 ,88 
318,,,,,,,,,,, 1417743028,,
319,3.0,2.0,4.0,1 a 8 años,,$ 308.000 COP,"$ 5.328.947,37*m²",1.0,Excelente,, 405000000,76 ,0 
320,2.0,3.0,6.0,1 a 8 años,10,$ 453.000 COP,"$ 6.702.127,66*m²",2.0,Excelente,, 630000000,94 ,0 
321,,,,,,,,,,, 543532000,,
322,,,,,,,,,,, 670000000,,
323,3.0,2.0,4.0,1 a 8 años,Otro,$ 162.720 COP,"$ 4.333.333,33*m²",1.0,,, 247000000,57 ,0 
324,,,,,,,,,,, 295210000,,
325,3.0,3.0,3.0,,,No definida,"$ 5.275.590,55*m²",,,, 670000000,127 ,0 
326,3.0,2.0,3.0,,3,No definida,"$ 3.897.058,82*m²",,,, 265000000,68 ,0 
327,,,4.0,,,,,,En construcción,, 488100000,,
328,3.0,2.0,5.0,1 a 8 años,14,$ 207.000 COP,"$ 5.149.253,73*m²",1.0,Excelente,, 345000000,67 ,0 
329,2.0,2.0,6.0,,9,No definida,"$ 11.538.461,54*m²",2.0,,, 1200000000,104 ,104 
330,,,6.0,,,,,,Sobre planos,, 553675000,,
331,3.0,3.0,6.0,9 a 15 años,Otro,$ 770.000 COP,"$ 5.666.666,67*m²",2.0,Excelente,, 850000000,150 ,0 
332,3.0,2.0,5.0,1 a 8 años,2,$ 190.000 COP,"$ 5.178.571,43*m²",1.0,Excelente,, 435000000,84 ,84 
333,,,,,,,,,,, 156520000,,
334,1.0,1.0,6.0,1 a 8 años,,$ 443.000 COP,$ 7.750.000*m²,,Excelente,, 310000000,40 ,0 
335,3.0,2.0,6.0,16 a 30 años,7,$ 470.000 COP,"$ 5.117.399,16*m²",1.0,Bueno,, 510000000,"99,66 ",0 
336,,,,,,,,,,, 825894200,,
337,5.0,3.0,6.0,9 a 15 años,4,$ 600.000 COP,"$ 4.492.753,62*m²",2.0,Excelente,, 620000000,138 ,138 
338,2.0,2.0,4.0,1 a 8 años,Otro,$ 290.000 COP,$ 5.640.000*m²,1.0,Excelente,, 423000000,75 ,75 
339,2.0,3.0,6.0,más de 30 años,4,$ 596.300 COP,"$ 4.361.344,54*m²",1.0,Excelente,, 519000000,119 ,119 
340,3.0,4.0,6.0,9 a 15 años,,$ 769.000 COP,"$ 5.666.666,67*m²",2.0,,, 850000000,150 ,150 
341,4.0,5.0,6.0,1 a 8 años,Otro,No definida,"$ 6.089.309,88*m²",2.0,Excelente,, 900000000,"147,8 ",148 
342,3.0,5.0,6.0,,Otro,$ 754.000 COP,"$ 6.395.348,84*m²",5.0,,, 1650000000,258 ,258 
343,3.0,2.0,6.0,menor a 1 año,Otro,No definida,"$ 6.924.483,93*m²",1.0,Excelente,, 530000000,"76,54 ",70 
344,,,,,,,,,,, 240000000,,
345,3.0,2.0,4.0,,,No definida,"$ 3.454.545,45*m²",,,, 380000000,110 ,0 
346,2.0,2.0,4.0,16 a 30 años,Otro,$ 165.000 COP,"$ 4.907.407,41*m²",1.0,Excelente,, 265000000,54 ,0 
347,,,4.0,,,,,,Sobre planos,, 297126000,,
348,3.0,2.0,5.0,más de 30 años,2,No definida,"$ 4.393.939,39*m²",1.0,,, 580000000,132 ,132 
349,3.0,1.0,3.0,1 a 8 años,Otro,$ 126.018 COP,"$ 3.829.787,23*m²",,Excelente,, 180000000,47 ,42 
350,,,,,,,,,,, 647307563,,
351,3.0,4.0,6.0,1 a 8 años,Otro,$ 680.000 COP,"$ 6.666.666,67*m²",2.0,Excelente,, 900000000,135 ,135 
352,,,,,,,,,,, 631862400,,
353,,,,,,,,,,, 347300000,,
354,3.0,2.0,5.0,9 a 15 años,Otro,$ 350.000 COP,$ 5.375.000*m²,1.0,Excelente,, 430000000,80 ,80 
355,3.0,3.0,6.0,16 a 30 años,2,$ 540.000 COP,"$ 4.483.870,97*m²",2.0,Excelente,Loft, 695000000,155 ,150 
356,3.0,2.0,5.0,9 a 15 años,11,$ 400.000 COP,"$ 4.896.103,9*m²",1.0,Bueno,, 377000000,77 ,77 
357,3.0,3.0,5.0,,1,$ 180.000 COP,"$ 4.142.857,14*m²",1.0,,, 580000000,140 ,0 
358,,,,,,,,,,, 1417743028,,
359,2.0,2.0,6.0,9 a 15 años,Otro,$ 340.000 COP,"$ 4.382.022,47*m²",1.0,,, 390000000,89 ,89 
360,3.0,2.0,4.0,9 a 15 años,14,$ 390.500 COP,"$ 5.535.714,29*m²",1.0,Bueno,, 465000000,84 ,84 
361,,,,,,,,,,, 561960000,,
362,3.0,2.0,6.0,9 a 15 años,7,$ 220.000 COP,"$ 5.571.428,57*m²",1.0,Bueno,, 390000000,70 ,70 
363,3.0,2.0,5.0,1 a 8 años,Otro,No definida,"$ 5.928.571,43*m²",1.0,Bueno,, 498000000,84 ,84 
364,,,,,,,,,,, 543532000,,
365,3.0,2.0,5.0,1 a 8 años,Otro,No definida,"$ 6.781.609,2*m²",1.0,Excelente,, 590000000,87 ,0 
366,3.0,1.0,3.0,,,No definida,"$ 2.337.662,34*m²",,,, 180000000,77 ,77 
367,,,,,,,,,,, 295210000,,
368,4.0,5.0,6.0,16 a 30 años,7,$ 1.200.000 COP,"$ 4.678.362,57*m²",3.0,,, 1600000000,342 ,342 
369,,,,,,,,,,, 220000000,,
370,,,4.0,,,,,,En construcción,, 488100000,,
371,3.0,3.0,5.0,,4,$ 332.500 COP,"$ 3.584.905,66*m²",1.0,,, 380000000,106 ,106 
372,3.0,3.0,5.0,,10,$ 776.900 COP,"$ 3.762.886,6*m²",2.0,,, 730000000,194 ,165 
373,,,6.0,,,,,,Sobre planos,, 553675000,,
374,3.0,4.0,6.0,,9,$ 510.000 COP,"$ 7.073.170,73*m²",2.0,,, 870000000,123 ,123 
375,3.0,3.0,5.0,,8,$ 563.000 COP,"$ 4.605.263,16*m²",2.0,,, 700000000,152 ,152 
376,,,,,,,,,,, 156520000,,
377,3.0,2.0,5.0,,7,$ 230.000 COP,$ 5.000.000*m²,1.0,,, 355000000,71 ,71 
378,2.0,2.0,4.0,1 a 8 años,5,No definida,$ 5.000.000*m²,1.0,Remodelado,, 275000000,55 ,53 
379,,,,,,,,,,, 825894200,,
380,3.0,2.0,3.0,más de 30 años,4,No definida,"$ 2.820.512,82*m²",,Excelente,, 220000000,78 ,0 
381,5.0,6.0,6.0,9 a 15 años,16,$ 950.000 COP,"$ 4.478.260,87*m²",3.0,Excelente,, 1648000000,368 ,368 
382,3.0,2.0,5.0,,,$ 400.000 COP,"$ 3.428.571,43*m²",1.0,,, 480000000,140 ,0 
383,3.0,3.0,6.0,1 a 8 años,,$ 868.889 COP,$ 10.000.000*m²,3.0,,, 1600000000,160 ,160 
384,2.0,2.0,6.0,1 a 8 años,Otro,$ 250.000 COP,"$ 7.230.769,23*m²",1.0,Excelente,, 470000000,65 ,65 
385,3.0,3.0,6.0,,,$ 535.000 COP,"$ 7.236.024,84*m²",3.0,Excelente,, 1165000000,161 ,0 
386,3.0,3.0,6.0,9 a 15 años,4,$ 496.000 COP,"$ 6.605.769,23*m²",2.0,Bueno,, 687000000,104 ,0 
387,,,,,,,,,,, 240000000,,
388,3.0,2.0,4.0,,,No definida,"$ 3.454.545,45*m²",,,, 380000000,110 ,0 
389,2.0,2.0,4.0,16 a 30 años,Otro,$ 165.000 COP,"$ 4.907.407,41*m²",1.0,Excelente,, 265000000,54 ,0 
390,,,4.0,,,,,,Sobre planos,, 297126000,,
391,3.0,2.0,5.0,más de 30 años,2,No definida,"$ 4.393.939,39*m²",1.0,,, 580000000,132 ,132 
392,3.0,1.0,3.0,1 a 8 años,Otro,$ 126.018 COP,"$ 3.829.787,23*m²",,Excelente,, 180000000,47 ,42 
393,,,,,,,,,,, 647307563,,
394,3.0,2.0,3.0,1 a 8 años,,$ 160.000 COP,"$ 3.157.894,74*m²",,Excelente,, 180000000,57 ,57 
395,,,,,,,,,,, 631862400,,
396,,,,,,,,,,, 347300000,,
397,,,,,,,,,,, 720000000,,
398,2.0,1.0,3.0,1 a 8 años,1,$ 95.000 COP,"$ 3.717.948,72*m²",,Excelente,, 145000000,39 ,39 
399,3.0,2.0,4.0,,9,$ 126.000 COP,"$ 4.444.444,44*m²",,Excelente,, 240000000,54 ,54 
400,3.0,3.0,6.0,1 a 8 años,13,$ 450.000 COP,"$ 6.442.307,69*m²",2.0,,, 670000000,104 ,104 
401,,,,,,,,,,, 1417743028,,
402,2.0,2.0,6.0,9 a 15 años,Otro,$ 340.000 COP,"$ 4.382.022,47*m²",1.0,,, 390000000,89 ,89 
403,3.0,2.0,4.0,9 a 15 años,6,$ 285.173 COP,"$ 4.974.489,8*m²",1.0,Excelente,, 487500000,98 ,98 
404,,,,,,,,,,, 561960000,,
405,3.0,2.0,6.0,9 a 15 años,9,$ 496.000 COP,"$ 6.605.769,23*m²",2.0,Excelente,, 687000000,104 ,104 
406,1.0,1.0,6.0,16 a 30 años,1,$ 145.000 COP,"$ 9.285.714,29*m²",1.0,,, 260000000,28 ,28 
407,,,,,,,,,,, 543532000,,
408,1.0,1.0,3.0,1 a 8 años,16,$ 107.000 COP,$ 5.000.000*m²,1.0,,, 150000000,30 ,30 
409,3.0,4.0,6.0,16 a 30 años,5,$ 748.000 COP,"$ 4.131.736,53*m²",2.0,Excelente,, 690000000,167 ,167 
410,,,,,,,,,,, 295210000,,
411,3.0,2.0,5.0,9 a 15 años,1,$ 215.000 COP,"$ 4.722.222,22*m²",1.0,Excelente,, 340000000,72 ,72 
412,3.0,2.0,4.0,9 a 15 años,2,$ 308.000 COP,"$ 3.882.352,94*m²",1.0,Excelente,, 330000000,85 ,85 
413,,,4.0,,,,,,En construcción,, 488100000,,
414,3.0,2.0,4.0,9 a 15 años,3,$ 350.000 COP,"$ 5.252.525,25*m²",1.0,Excelente,, 520000000,99 ,93 
415,2.0,2.0,5.0,1 a 8 años,14,$ 335.000 COP,$ 5.750.000*m²,2.0,Excelente,, 460000000,80 ,0 
416,,,6.0,,,,,,Sobre planos,, 553675000,,
417,3.0,2.0,5.0,9 a 15 años,2,$ 370.000 COP,"$ 3.652.173,91*m²",1.0,,, 420000000,115 ,0 
418,3.0,2.0,4.0,1 a 8 años,12,$ 230.000 COP,"$ 5.779.220,78*m²",2.0,Excelente,, 445000000,77 ,74 
419,,,,,,,,,,, 156520000,,
420,3.0,4.0,6.0,más de 30 años,7,$ 1.070.000 COP,"$ 3.636.363,64*m²",3.0,,, 1200000000,330 ,0 
421,3.0,4.0,6.0,1 a 8 años,1,$ 883.000 COP,"$ 6.221.198,16*m²",3.0,Bueno,, 1350000000,217 ,217 
422,,,,,,,,,,, 825894200,,
423,2.0,3.0,6.0,,,$ 370.000 COP,$ 4.525.000*m²,2.0,,, 543000000,120 ,0 
424,,,,,,,,,,, 165000000,,
425,3.0,1.0,3.0,1 a 8 años,16,$ 160.000 COP,"$ 3.541.666,67*m²",1.0,Excelente,, 170000000,48 ,48 
426,3.0,3.0,4.0,9 a 15 años,5,$ 300.000 COP,"$ 4.429.347,83*m²",1.0,Excelente,, 407500000,92 ,92 
427,2.0,1.0,4.0,9 a 15 años,15,$ 140.000 COP,"$ 3.928.571,43*m²",,Excelente,, 165000000,42 ,42 
428,3.0,2.0,4.0,16 a 30 años,3,$ 110.000 COP,"$ 5.266.666,67*m²",1.0,Excelente,, 395000000,75 ,75 
429,3.0,3.0,5.0,más de 30 años,3,$ 150.000 COP,"$ 4.196.428,57*m²",1.0,Bueno,, 470000000,112 ,112 
